"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30899","Click first user in Users","Surefire suite","Tue Sep 09 13:43:01 IST 2025","passed","Tue Sep 09 13:43:32 IST 2025","gettingStarted.Actingoffice.Test183","Surefire test","gettingStarted.Actingoffice.Test183","clickFirstUserTest183"
"","47321","Add Fixed Asset without Purchase Date and with Account selection (Test192)","Surefire suite","Tue Sep 09 14:28:49 IST 2025","passed","Tue Sep 09 14:29:37 IST 2025","gettingStarted.Actingoffice.Test192","Surefire test","gettingStarted.Actingoffice.Test192","addFixedAssetWithAccount"
"","22035","email address appearing by default in the 'To' field","Surefire suite","Thu Sep 04 18:00:41 IST 2025","passed","Thu Sep 04 18:01:04 IST 2025","gettingStarted.Actingoffice.Test34","Surefire test","gettingStarted.Actingoffice.Test34","email_address_appearing_by_default_in_the_To_field"
"","44569","Credit note Creation when part payment recieved","Surefire suite","Thu Sep 04 10:59:12 IST 2025","passed","Thu Sep 04 10:59:57 IST 2025","gettingStarted.Actingoffice.Test6","Surefire test","gettingStarted.Actingoffice.Test6","CreditnoteCreationwhenpartpaymentrecieved"
"","59400","Add Fixed Asset with Date, Account, Supplier, Description, Amount, and Rate (Test197)","Surefire suite","Tue Sep 09 16:02:27 IST 2025","passed","Tue Sep 09 16:03:27 IST 2025","gettingStarted.Actingoffice.Test197","Surefire test","gettingStarted.Actingoffice.Test197","addFixedAssetWithDateAndRate"
"","34585","Create Reimbursement Test","Surefire suite","Fri Sep 05 11:40:10 IST 2025","passed","Fri Sep 05 11:40:45 IST 2025","gettingStarted.Actingoffice.Test48","Surefire test","gettingStarted.Actingoffice.Test48","Create_Reimbursement_Test"
"","25760","Credit note Creation when full payment recieved","Surefire suite","Thu Sep 04 10:57:53 IST 2025","passed","Thu Sep 04 10:58:19 IST 2025","gettingStarted.Actingoffice.Test5","Surefire test","gettingStarted.Actingoffice.Test5","CreditnoteCreationwhenfullpaymentrecieved"
"","50024","Explain a banking transaction with account head selection","Surefire suite","Mon Sep 08 17:36:52 IST 2025","passed","Mon Sep 08 17:37:42 IST 2025","gettingStarted.Actingoffice.Test122","Surefire test","gettingStarted.Actingoffice.Test122","ExplainTransactionWithAccountHead_Test"
"","34987","Explain a banking transaction","Surefire suite","Mon Sep 08 16:36:57 IST 2025","passed","Mon Sep 08 16:37:32 IST 2025","gettingStarted.Actingoffice.Test116","Surefire test","gettingStarted.Actingoffice.Test116","ExplainTransaction_Test"
"","52140","Importing vat data","Surefire suite","Wed Sep 10 12:05:47 IST 2025","passed","Wed Sep 10 12:06:39 IST 2025","gettingStarted.Actingoffice.Test144","Surefire test","gettingStarted.Actingoffice.Test144","Importing_vat_data"
"","41897","Sending email to client","Surefire suite","Wed Sep 10 11:07:53 IST 2025","passed","Wed Sep 10 11:08:35 IST 2025","gettingStarted.Actingoffice.Test32","Surefire test","gettingStarted.Actingoffice.Test32","Sending_email_to_client"
"","39511","Filter Transactions by 'Manually added'","Surefire suite","Mon Sep 08 19:58:56 IST 2025","passed","Mon Sep 08 19:59:36 IST 2025","gettingStarted.Actingoffice.Test137","Surefire test","gettingStarted.Actingoffice.Test137","FilterManuallyAddedTransactions_Test"
"","33097","Purchase Invoice Scan Test","Surefire suite","Fri Sep 05 12:36:05 IST 2025","passed","Fri Sep 05 12:36:38 IST 2025","gettingStarted.Actingoffice.Test59","Surefire test","gettingStarted.Actingoffice.Test59","Purchase_Scan_Test"
"","38411","Edit user's email Test 173","Surefire suite","Tue Sep 09 13:06:22 IST 2025","passed","Tue Sep 09 13:07:01 IST 2025","gettingStarted.Actingoffice.Test173","Surefire test","gettingStarted.Actingoffice.Test173","editUserEmailTest173"
"","61554","Create Mileage Claim Test","Surefire suite","Mon Sep 08 12:03:05 IST 2025","passed","Mon Sep 08 12:04:07 IST 2025","gettingStarted.Actingoffice.Test96","Surefire test","gettingStarted.Actingoffice.Test96","ExpenseClaims_MileageClaimCreation_Test"
"","31912","Importing sales invoice","Surefire suite","Thu Sep 04 13:52:18 IST 2025","passed","Thu Sep 04 13:52:50 IST 2025","gettingStarted.Actingoffice.Test20","Surefire test","gettingStarted.Actingoffice.Test20","Importingsalesinvoice"
"","47060","Create Expense Claim Test","Surefire suite","Fri Sep 05 19:00:03 IST 2025","passed","Fri Sep 05 19:00:50 IST 2025","gettingStarted.Actingoffice.Test86","Surefire test","gettingStarted.Actingoffice.Test86","ExpenseClaims_CreateExpense_Test"
"","30401","Increasing quantity in credit note","Surefire suite","Thu Sep 04 11:31:19 IST 2025","passed","Thu Sep 04 11:31:50 IST 2025","gettingStarted.Actingoffice.Test11","Surefire test","gettingStarted.Actingoffice.Test11","Increasingquantityincreditnote"
"","35831","Search for Refund record in Expense Claims","Surefire suite","Tue Sep 09 11:58:18 IST 2025","passed","Tue Sep 09 11:58:54 IST 2025","gettingStarted.Actingoffice.Test159","Surefire test","gettingStarted.Actingoffice.Test159","SearchRefund_Test"
"","25519","Create Purchase Order Test","Surefire suite","Fri Sep 05 11:50:26 IST 2025","passed","Fri Sep 05 11:50:52 IST 2025","gettingStarted.Actingoffice.Test50","Surefire test","gettingStarted.Actingoffice.Test50","Create_PurchaseOrder_Test"
"","39710","Filter users by Designation options: Director, Other, All","Surefire suite","Tue Sep 09 13:32:54 IST 2025","passed","Tue Sep 09 13:33:34 IST 2025","gettingStarted.Actingoffice.Test180","Surefire test","gettingStarted.Actingoffice.Test180","filterUsersByDesignationTest180"
"","24734","Import Purchases without uploading file Test","Surefire suite","Thu Sep 04 19:09:52 IST 2025","passed","Thu Sep 04 19:10:17 IST 2025","gettingStarted.Actingoffice.Test43","Surefire test","gettingStarted.Actingoffice.Test43","Import_Purchases_WithoutFile_Test"
"","26517","Create sales invoice for service without account head","Surefire suite","Thu Sep 04 11:15:10 IST 2025","passed","Thu Sep 04 11:15:37 IST 2025","gettingStarted.Actingoffice.Test10","Surefire test","gettingStarted.Actingoffice.Test10","CreatingSalesInvoicewithoutaccounthead"
"","33259","Open General Ledger Detailed Report (Test200)","Surefire suite","Tue Sep 09 16:15:47 IST 2025","passed","Tue Sep 09 16:16:20 IST 2025","gettingStarted.Actingoffice.Test200","Surefire test","gettingStarted.Actingoffice.Test200","openGeneralLedgerDetailedReport"
"","26067","Marking the invoice as bad debts","Surefire suite","Thu Sep 04 15:26:00 IST 2025","passed","Thu Sep 04 15:26:26 IST 2025","gettingStarted.Actingoffice.Test25","Surefire test","gettingStarted.Actingoffice.Test25","Markingtheinvoiceasbaddebts"
"","51277","Search Mileage Claims Test","Surefire suite","Mon Sep 08 13:13:39 IST 2025","passed","Mon Sep 08 13:14:30 IST 2025","gettingStarted.Actingoffice.Test108","Surefire test","gettingStarted.Actingoffice.Test108","MileageClaims_Search_Test"
"","41566","Delete Reimbursement entry under Expense Claims","Surefire suite","Tue Sep 09 11:31:19 IST 2025","passed","Tue Sep 09 11:32:01 IST 2025","gettingStarted.Actingoffice.Test152","Surefire test","gettingStarted.Actingoffice.Test152","DeleteReimbursement_Test"
"","30991","Import Purchases from CSV Test","Surefire suite","Fri Sep 05 12:41:36 IST 2025","passed","Fri Sep 05 12:42:07 IST 2025","gettingStarted.Actingoffice.Test60","Surefire test","gettingStarted.Actingoffice.Test60","Purchase_Import_Test"
"","34327","Exclude a banking transaction","Surefire suite","Mon Sep 08 17:17:34 IST 2025","passed","Mon Sep 08 17:18:09 IST 2025","gettingStarted.Actingoffice.Test120","Surefire test","gettingStarted.Actingoffice.Test120","ExcludeTransaction_Test"
"","41629","Adding a journal with automatic VAT fetch","Surefire suite","Fri Sep 05 17:46:34 IST 2025","passed","Fri Sep 05 17:47:15 IST 2025","gettingStarted.Actingoffice.Test76","Surefire test","gettingStarted.Actingoffice.Test76","Journal_Add_Test"
"","35826","Setting the payment term from the settings","Surefire suite","Thu Sep 04 16:04:08 IST 2025","passed","Thu Sep 04 16:04:44 IST 2025","gettingStarted.Actingoffice.Test29","Surefire test","gettingStarted.Actingoffice.Test29","Setting_the_payment_term_from_the_settings"
"","24348","Sales Invoice Creation Test","Surefire suite","Thu Sep 04 10:50:20 IST 2025","passed","Thu Sep 04 10:50:44 IST 2025","gettingStarted.Actingoffice.Test1","Surefire test","gettingStarted.Actingoffice.Test1","testSalesInvoiceCreation"
"","96777","Mileage Claim - Remarks is mandatory","Surefire suite","Mon Sep 08 12:23:35 IST 2025","passed","Mon Sep 08 12:25:12 IST 2025","gettingStarted.Actingoffice.Test100","Surefire test","gettingStarted.Actingoffice.Test100","ExpenseClaims_RemarksMandatory_Test"
"","32086","Filter Reimbursements by Deleted status","Surefire suite","Tue Sep 09 11:39:52 IST 2025","passed","Tue Sep 09 11:40:24 IST 2025","gettingStarted.Actingoffice.Test155","Surefire test","gettingStarted.Actingoffice.Test155","FilterReimbursementsDeleted_Test"
"","35227","Creating credit note by changing refund amount","Surefire suite","Thu Sep 04 12:52:29 IST 2025","passed","Thu Sep 04 12:53:05 IST 2025","gettingStarted.Actingoffice.Test16","Surefire test","gettingStarted.Actingoffice.Test16","Creatingcreditnotebychangingrefundamount"
"","47230","Create Reimbursement under Expense Claims","Surefire suite","Tue Sep 09 10:54:36 IST 2025","passed","Tue Sep 09 10:55:23 IST 2025","gettingStarted.Actingoffice.Test146","Surefire test","gettingStarted.Actingoffice.Test146","ReimbursementCreation_Test"
"","21782","Create Purchase Invoice with Discount Greater than Net Amount Test","Surefire suite","Thu Sep 04 18:57:04 IST 2025","passed","Thu Sep 04 18:57:26 IST 2025","gettingStarted.Actingoffice.Test42","Surefire test","gettingStarted.Actingoffice.Test42","Create_Purchase_Invoice_DiscountGreaterThanNet_Test"
"","19872","Purchase Dashboard Test","Surefire suite","Fri Sep 05 12:18:09 IST 2025","passed","Fri Sep 05 12:18:29 IST 2025","gettingStarted.Actingoffice.Test55","Surefire test","gettingStarted.Actingoffice.Test55","Purchase_Dashboard_Test"
"","47774","Dispose asset in Assets module (Test211)","Surefire suite","Tue Sep 09 17:12:17 IST 2025","passed","Tue Sep 09 17:13:05 IST 2025","gettingStarted.Actingoffice.Test211","Surefire test","gettingStarted.Actingoffice.Test211","disposeAssetWorkflow"
"","45276","Unexplain an explained banking transaction","Surefire suite","Mon Sep 08 17:11:59 IST 2025","passed","Mon Sep 08 17:12:44 IST 2025","gettingStarted.Actingoffice.Test119","Surefire test","gettingStarted.Actingoffice.Test119","UnexplainTransaction_Test"
"","19230","Sorting the data","Surefire suite","Thu Sep 04 14:05:35 IST 2025","passed","Thu Sep 04 14:05:54 IST 2025","gettingStarted.Actingoffice.Test23","Surefire test","gettingStarted.Actingoffice.Test23","Sortingthedata"
"","26505","Search for a journal entry","Surefire suite","Fri Sep 05 17:55:44 IST 2025","passed","Fri Sep 05 17:56:10 IST 2025","gettingStarted.Actingoffice.Test79","Surefire test","gettingStarted.Actingoffice.Test79","Journal_Search_Test"
"","28141","Sending email to me","Surefire suite","Thu Sep 04 17:12:28 IST 2025","passed","Thu Sep 04 17:12:56 IST 2025","gettingStarted.Actingoffice.Test33","Surefire test","gettingStarted.Actingoffice.Test33","Sending_email_to_me"
"","48364","Add a new User (minimal info)","Surefire suite","Tue Sep 09 12:29:21 IST 2025","passed","Tue Sep 09 12:30:09 IST 2025","gettingStarted.Actingoffice.Test167","Surefire test","gettingStarted.Actingoffice.Test167","addUserMinimalInfoTest"
"","34412","Setting the date range","Surefire suite","Thu Sep 04 13:57:09 IST 2025","passed","Thu Sep 04 13:57:43 IST 2025","gettingStarted.Actingoffice.Test21","Surefire test","gettingStarted.Actingoffice.Test21","Settingthedaterange"
"","68871","Generate Trial Balance Report","Surefire suite","Tue Sep 09 10:42:48 IST 2025","passed","Tue Sep 09 10:43:57 IST 2025","gettingStarted.Actingoffice.Test138","Surefire test","gettingStarted.Actingoffice.Test138","TrialBalanceReport_Test"
"","76000","Split a banking transaction using Cash Coding","Surefire suite","Mon Sep 08 18:21:17 IST 2025","passed","Mon Sep 08 18:22:33 IST 2025","gettingStarted.Actingoffice.Test123","Surefire test","gettingStarted.Actingoffice.Test123","SplitTransaction_Test"
"","47655","Add a new User Test 171","Surefire suite","Tue Sep 09 12:58:05 IST 2025","passed","Tue Sep 09 12:58:53 IST 2025","gettingStarted.Actingoffice.Test171","Surefire test","gettingStarted.Actingoffice.Test171","addUserTest171"
"","36768","Allocate the invoice amount from the advance receipt amount","Surefire suite","Thu Sep 04 15:39:55 IST 2025","passed","Thu Sep 04 15:40:32 IST 2025","gettingStarted.Actingoffice.Test26","Surefire test","gettingStarted.Actingoffice.Test26","Allocate_the_invoice_amount_from_the_advance_receipt_amount"
"","31223","Download a Refund (Second Option)","Surefire suite","Tue Sep 09 12:13:40 IST 2025","passed","Tue Sep 09 12:14:11 IST 2025","gettingStarted.Actingoffice.Test164","Surefire test","gettingStarted.Actingoffice.Test164","downloadRefundOption2Test"
"","36070","Charts should display values for all statuses: Pending, Accepted, Paid, and Due","Surefire suite","Fri Sep 05 16:19:16 IST 2025","passed","Fri Sep 05 16:19:52 IST 2025","gettingStarted.Actingoffice.Test70","Surefire test","gettingStarted.Actingoffice.Test70","Chart_Validation_Test"
"","28397","Create purchase credit note for an invoice","Surefire suite","Fri Sep 05 13:13:16 IST 2025","passed","Fri Sep 05 13:13:44 IST 2025","gettingStarted.Actingoffice.Test63","Surefire test","gettingStarted.Actingoffice.Test63","Purchase_CreateCreditNote_Test"
"","22423","Creating Sale Invoice through Estimates","Surefire suite","Thu Sep 04 11:04:44 IST 2025","passed","Thu Sep 04 11:05:06 IST 2025","gettingStarted.Actingoffice.Test8","Surefire test","gettingStarted.Actingoffice.Test8","CreateEstimates"
"","55316","Verifying input and output vat pages","Surefire suite","Wed Sep 10 11:24:08 IST 2025","passed","Wed Sep 10 11:25:03 IST 2025","gettingStarted.Actingoffice.Test141","Surefire test","gettingStarted.Actingoffice.Test141","Verifying_input_and_output_vat"
"","72449","Expense Claims Creation & Amount Validation Test","Surefire suite","Mon Sep 08 11:34:09 IST 2025","passed","Mon Sep 08 11:35:21 IST 2025","gettingStarted.Actingoffice.Test93","Surefire test","gettingStarted.Actingoffice.Test93","ExpenseClaims_CreateExpense_Test"
"","47064","Import Banking Transactions via CSV","Surefire suite","Mon Sep 08 16:19:49 IST 2025","passed","Mon Sep 08 16:20:36 IST 2025","gettingStarted.Actingoffice.Test114","Surefire test","gettingStarted.Actingoffice.Test114","ImportCSV_Test"
"","24944","Add Item Test","Surefire suite","Fri Sep 05 12:14:30 IST 2025","passed","Fri Sep 05 12:14:55 IST 2025","gettingStarted.Actingoffice.Test54","Surefire test","gettingStarted.Actingoffice.Test54","Add_Item_Test"
"","36839","Import transactions and redirect to Cashcoding","Surefire suite","Fri Sep 05 18:41:31 IST 2025","passed","Fri Sep 05 18:42:08 IST 2025","gettingStarted.Actingoffice.Test84","Surefire test","gettingStarted.Actingoffice.Test84","Banking_ImportTransactions_Cashcoding_Test"
"","50933","Mileage Claim - Save without selecting user","Surefire suite","Mon Sep 08 12:08:59 IST 2025","passed","Mon Sep 08 12:09:50 IST 2025","gettingStarted.Actingoffice.Test97","Surefire test","gettingStarted.Actingoffice.Test97","ExpenseClaims_MileageClaimWithoutUser_Test"
"","51148","Unexplain Transactions","Surefire suite","Mon Sep 08 19:25:41 IST 2025","passed","Mon Sep 08 19:26:32 IST 2025","gettingStarted.Actingoffice.Test132","Surefire test","gettingStarted.Actingoffice.Test132","UnexplainTransaction_Test"
"","40460","Edit an existing User Test 172","Surefire suite","Tue Sep 09 13:03:05 IST 2025","passed","Tue Sep 09 13:03:46 IST 2025","gettingStarted.Actingoffice.Test172","Surefire test","gettingStarted.Actingoffice.Test172","editUserTest172"
"","37747","Increasing discount in credit note","Surefire suite","Thu Sep 04 11:52:23 IST 2025","passed","Thu Sep 04 11:53:00 IST 2025","gettingStarted.Actingoffice.Test12","Surefire test","gettingStarted.Actingoffice.Test12","Increasingdiscountincreditnote"
"","40346","Create Reimbursement with Date cleared under Expense Claims","Surefire suite","Tue Sep 09 11:03:52 IST 2025","passed","Tue Sep 09 11:04:33 IST 2025","gettingStarted.Actingoffice.Test148","Surefire test","gettingStarted.Actingoffice.Test148","ReimbursementWithDate_Test"
"","36337","Create Purchase Invoice with current date and advance receipt","Surefire suite","Fri Sep 05 12:59:31 IST 2025","passed","Fri Sep 05 13:00:07 IST 2025","gettingStarted.Actingoffice.Test62","Surefire test","gettingStarted.Actingoffice.Test62","Purchase_CreateInvoice_AdvanceReceipt_Test"
"","30668","Open Aged Debtors report (Test203)","Surefire suite","Tue Sep 09 16:25:06 IST 2025","passed","Tue Sep 09 16:25:36 IST 2025","gettingStarted.Actingoffice.Test203","Surefire test","gettingStarted.Actingoffice.Test203","openAgedDebtorsReport"
"","30523","Navigate to Refunds in Expense Claims","Surefire suite","Tue Sep 09 11:56:06 IST 2025","passed","Tue Sep 09 11:56:36 IST 2025","gettingStarted.Actingoffice.Test158","Surefire test","gettingStarted.Actingoffice.Test158","NavigateToRefunds_Test"
"","31483","Import Purchases with all columns mapped Test","Surefire suite","Thu Sep 04 19:43:45 IST 2025","passed","Thu Sep 04 19:44:17 IST 2025","gettingStarted.Actingoffice.Test45","Surefire test","gettingStarted.Actingoffice.Test45","Import_Purchases_AllColumnsMapped_Test"
"","79525","Create and Edit Expense Claim Test","Surefire suite","Wed Sep 10 13:06:19 IST 2025","passed","Wed Sep 10 13:07:39 IST 2025","gettingStarted.Actingoffice.Test88","Surefire test","gettingStarted.Actingoffice.Test88","ExpenseClaims_CreateAndEdit_Test"
"","25424","Open Banking Account","Surefire suite","Mon Sep 08 19:28:57 IST 2025","passed","Mon Sep 08 19:29:23 IST 2025","gettingStarted.Actingoffice.Test133","Surefire test","gettingStarted.Actingoffice.Test133","OpenAccount_Test"
"","29802","Apply Refunds filter for Deleted records","Surefire suite","Tue Sep 09 12:03:59 IST 2025","passed","Tue Sep 09 12:04:29 IST 2025","gettingStarted.Actingoffice.Test161","Surefire test","gettingStarted.Actingoffice.Test161","RefundsFilterDeleted_Test"
"","58827","Filter Mileage Claims by Date","Surefire suite","Mon Sep 08 13:16:38 IST 2025","passed","Mon Sep 08 13:17:37 IST 2025","gettingStarted.Actingoffice.Test109","Surefire test","gettingStarted.Actingoffice.Test109","MileageClaims_DateFilter_Test"
"","30651","Make Payment Test","Surefire suite","Fri Sep 05 11:59:05 IST 2025","passed","Fri Sep 05 11:59:35 IST 2025","gettingStarted.Actingoffice.Test52","Surefire test","gettingStarted.Actingoffice.Test52","Make_Payment_Test"
"","22709","Create Purchase Invoice Test","Surefire suite","Thu Sep 04 18:48:53 IST 2025","passed","Thu Sep 04 18:49:16 IST 2025","gettingStarted.Actingoffice.Test40","Surefire test","gettingStarted.Actingoffice.Test40","Create_Purchase_Invoice_Test"
"","24515","Reverse a journal entry","Surefire suite","Fri Sep 05 17:49:40 IST 2025","passed","Fri Sep 05 17:50:05 IST 2025","gettingStarted.Actingoffice.Test77","Surefire test","gettingStarted.Actingoffice.Test77","Journal_Reverse_Test"
"","23025","Creating Sales Invoice without values","Surefire suite","Thu Sep 04 11:10:44 IST 2025","passed","Thu Sep 04 11:11:07 IST 2025","gettingStarted.Actingoffice.Test9","Surefire test","gettingStarted.Actingoffice.Test9","CreatingSalesInvoicewithoutvalues"
"","31810","Edit a journal entry","Surefire suite","Fri Sep 05 17:53:03 IST 2025","passed","Fri Sep 05 17:53:35 IST 2025","gettingStarted.Actingoffice.Test78","Surefire test","gettingStarted.Actingoffice.Test78","Journal_Edit_Test"
"","41454","Explain a banking transaction","Surefire suite","Mon Sep 08 17:22:15 IST 2025","passed","Mon Sep 08 17:22:56 IST 2025","gettingStarted.Actingoffice.Test121","Surefire test","gettingStarted.Actingoffice.Test121","ExplainTransaction_Test"
"","53716","Match banking transaction with purchase invoice","Surefire suite","Mon Sep 08 17:02:19 IST 2025","passed","Mon Sep 08 17:03:12 IST 2025","gettingStarted.Actingoffice.Test117","Surefire test","gettingStarted.Actingoffice.Test117","MatchTransactionWithInvoice_Test"
"","65142","Explain banking transactions","Surefire suite","Fri Sep 05 18:46:22 IST 2025","passed","Fri Sep 05 18:47:27 IST 2025","gettingStarted.Actingoffice.Test85","Surefire test","gettingStarted.Actingoffice.Test85","Banking_ExplainTransactions_Test"
"","44781","Set depreciation date and refresh in Assets module (Test209)","Surefire suite","Tue Sep 09 17:00:03 IST 2025","passed","Tue Sep 09 17:00:47 IST 2025","gettingStarted.Actingoffice.Test209","Surefire test","gettingStarted.Actingoffice.Test209","depreciationDateAndRefresh"
"","52059","Setting the due date from the settings","Surefire suite","Tue Sep 09 18:34:39 IST 2025","passed","Tue Sep 09 18:35:31 IST 2025","gettingStarted.Actingoffice.Test28","Surefire test","gettingStarted.Actingoffice.Test28","Setting_the_due_date_from_the_settings"
"","43795","Transfer banking transaction to another account","Surefire suite","Mon Sep 08 17:09:00 IST 2025","passed","Mon Sep 08 17:09:44 IST 2025","gettingStarted.Actingoffice.Test118","Surefire test","gettingStarted.Actingoffice.Test118","TransferTransaction_Test"
"","26665","Add a new Journal and validate it is created successfully","Surefire suite","Fri Sep 05 16:32:44 IST 2025","passed","Fri Sep 05 16:33:11 IST 2025","gettingStarted.Actingoffice.Test71","Surefire test","gettingStarted.Actingoffice.Test71","Journals_AddNewJournal_Test"
"","61645","Add Fixed Asset with Purchase Date in Assets module (Test190)","Surefire suite","Tue Sep 09 14:18:47 IST 2025","passed","Tue Sep 09 14:19:49 IST 2025","gettingStarted.Actingoffice.Test190","Surefire test","gettingStarted.Actingoffice.Test190","addFixedAssetWithPurchaseDate"
"","28360","Filter users by Deleted and Active status","Surefire suite","Tue Sep 09 13:29:33 IST 2025","passed","Tue Sep 09 13:30:02 IST 2025","gettingStarted.Actingoffice.Test179","Surefire test","gettingStarted.Actingoffice.Test179","filterUsersTest179"
"","21570","Create Purchase Invoice with Empty Mandatory Fields Test","Surefire suite","Thu Sep 04 18:54:01 IST 2025","passed","Thu Sep 04 18:54:22 IST 2025","gettingStarted.Actingoffice.Test41","Surefire test","gettingStarted.Actingoffice.Test41","Create_Purchase_Invoice_EmptyFields_Test"
"","30486","Open Banking History","Surefire suite","Mon Sep 08 19:31:30 IST 2025","passed","Mon Sep 08 19:32:01 IST 2025","gettingStarted.Actingoffice.Test134","Surefire test","gettingStarted.Actingoffice.Test134","OpenHistory_Test"
"","27944","Open Supplier Balances report (Test207)","Surefire suite","Tue Sep 09 16:39:25 IST 2025","passed","Tue Sep 09 16:39:53 IST 2025","gettingStarted.Actingoffice.Test207","Surefire test","gettingStarted.Actingoffice.Test207","openSupplierBalancesReport"
"","47485","Navigate to Assets → Depreciations and post journal (Test208)","Surefire suite","Tue Sep 09 16:40:31 IST 2025","passed","Tue Sep 09 16:41:19 IST 2025","gettingStarted.Actingoffice.Test208","Surefire test","gettingStarted.Actingoffice.Test208","openAssetsDepreciationsAndPostJournal"
"","50109","Add Fixed Asset with Depreciation, VAT, Account, Supplier, and Amount (Test195)","Surefire suite","Tue Sep 09 15:52:49 IST 2025","passed","Tue Sep 09 15:53:39 IST 2025","gettingStarted.Actingoffice.Test195","Surefire test","gettingStarted.Actingoffice.Test195","addFixedAssetWithDepreciation"
"","34424","Create and Delete Expense Claim Test","Surefire suite","Mon Sep 08 11:09:04 IST 2025","passed","Mon Sep 08 11:09:38 IST 2025","gettingStarted.Actingoffice.Test90","Surefire test","gettingStarted.Actingoffice.Test90","ExpenseClaims_CreateAndDelete_Test"
"","34989","Add a new Journal and cancel it","Surefire suite","Fri Sep 05 16:52:49 IST 2025","passed","Fri Sep 05 16:53:24 IST 2025","gettingStarted.Actingoffice.Test73","Surefire test","gettingStarted.Actingoffice.Test73","Journals_AddAndCancel_Test"
"","30437","Open General Ledger Report (Test199)","Surefire suite","Tue Sep 09 16:12:52 IST 2025","passed","Tue Sep 09 16:13:23 IST 2025","gettingStarted.Actingoffice.Test199","Surefire test","gettingStarted.Actingoffice.Test199","openGeneralLedgerReport"
"","31758","Locking the invoice","Surefire suite","Thu Sep 04 18:12:29 IST 2025","passed","Thu Sep 04 18:13:01 IST 2025","gettingStarted.Actingoffice.Test36","Surefire test","gettingStarted.Actingoffice.Test36","Locking_the_invoice"
"","31666","Delete a user Test 178","Surefire suite","Tue Sep 09 13:26:32 IST 2025","passed","Tue Sep 09 13:27:03 IST 2025","gettingStarted.Actingoffice.Test178","Surefire test","gettingStarted.Actingoffice.Test178","deleteUserTest178"
